node,relation_nodes
420249005,"3513926570,420248577,1333394789,420248835,420249198,1333333028,1333344728,1333344691,1333344727,1333361925,1333333047,3514452347,3757277956,3757641491,3760163835,3760163840,3760163841,3760188234,3761464390,1333372821,3765458409,3765458421,3765458425,3787131625,4076171124,4076171126,420249146,6040889066,6040889071,6336741750,3761464431,6336755991,6336755994,6532961025,6532969849,6533004927,6545851682,6513976516,6553407424,6553403952,6553439070"
6038229619,"420249558,1601639391,6040964110,6045401763,6045414794,6045414800,3077384361,6518601697,6045401773"
420249558,"6045414802,420249554"
3514086535,"420248849,420248841,6038336420,6038336422,6038336424,6038336428,420248640,420248831,6542719490,6555742918,1333341472"
420248849,"6528628235,6040740880,6040742785,420248855"
420248863,"420249042,420248975,1333315280,6525422583"
420249042,"420248863,420248648,420249060"
1334356315,"6548202095,6529739230,6524195360,1334356311"
6548202095,"1334356315,6548202092,1334356311,6548202090"
1759733733,"420265991,3078294473,5568437028"
420265991,"2093848455,345362486,3078294473,6518852234"
420249004,"420249054,3070253478,420248990,420249012,1334170407,1334172083,2991183870,3760220264,3760236661,3760236673,3760236687,3760247157,3761463621,420248569,5403622030,5403622028,5413973115,5413973120,5415637175,5423818213,5432701003,5432700998,6047716736,6047716738,6047850330,6048293318,6048293325,6548187755,6048494471,6048495120,6048495122,6548202090,4861510241,6563467464,6563934333,1334172327,1334172330"
420249054,"420249004,6041152002,420249053,1334172327,1334172330,3076945431,3076947134,3076960629,2996011848,6548153436,6548146799,6548146783"
420248863,"420249042,420248975,1333315280,6525422583"
420248975,"420248835,420249060,6528628235,420248971,1333698950,420248849,1333379813,1334202697,420248842,1333303457,3761464385,3761464387,6038353335,420248588,6040740880,6040742785,420248788,1333379836,6518525105,3068684702,420248855"
