wayid,nodes
164347243,"5547863092,5547863088,1759885352,6518661196,1759885317,1334355611,6518653157,3080086780,5579253350,5579253349"
164347285,"345362486,1759885449,1759885448,6157793158,3754617525,6568078338,1759885445,6521961565,1759885443,6524316045,1759885439,6521961569,1759885437,6521961573,6150950968,6570296182,6521961575,1759885436,6521932370"
164347288,"1759885418,6521430309,1334355644,6150950466,6521918983,1334355690,6521918981,6521918979,3754622303,6521918977,1334355653,6521905859,1334352336,6521932374,1334352326,6150951115,6521932371,6150951092,1334352267,6521961576,6150951088,6521961574,1334352264,6521961572,6521961571"
164347289,"1759885282,1759885278,6514126061,1759885274,3001689875,3754618596,6157730981,6521280503,1759885272,1759885259,1759885254,6574777893"
164347295,"3756833433,6511969863,3516506498,420265989,3001685719,420266227,3080086744,6521850464,3514922541,3455687217,3001685716,6521845873,3079969014,3079784561,6304675710,4890845840,6509067384,3079969011,3079784604,3006886460,5578958499,6524782666,6509658697,6561831103"
185739219,"1964063929,6570393098,1964045007,1964064342,1964045010,1964045009,6163640907,6570393106,1964045008"
199383480,"2093848455,2093848454"
199383481,"2988146962,4005669943,6350726892,4005669940,4005669941,5421674741,4005669942,2988146985"
199383483,"2093848454,3070437133,2093848453,6164917327,6548215305,6514250136,6538357936"
199383484,"6164917332,6514299277,6164917320,6545935179,6163016046,345362468,345362475"
199383485,"420265991,3507197239,3078294473,2093848462,2093848461,6518852234,2093848460,2093848459,3078294466,2093848458,2093848457,2093848455"
206986941,"2171008206,1038395040"
207009892,"2171351949,2171351964,2171351927"
207289584,"1038395029,2174824818,2174824833"
207335571,"2175276305,2175276313,2175276457"
214074959,"2236779049,6511459621,6511476960,668605135,6511459620,110518416,1726782062,6511459617,6511459618,1726782064"
214114855,"2237261666,2237261651"
214114857,"2237261651,3756956165,3756956166,2237261627,4073372543,2237261663,3756956170,2237261671,3756956174,3756956173,3756956172,4073372542,6571200372"
214118088,"5585953243,3514847498,2237282645,6524863553,2237282647,5585953234,5585953233,2237261646"
214118364,"3514847496,5585953236,2237284252,2237284254,6524863552,5585953235,2237284253,5585953242"
214122562,"2237312058,2237312080,2237312078,6571008721,2237312082"
214138441,"2237441375,2237441373"
214138443,"2237441364,2237441369,2237441380,2237441378,6513448216,2237441376,2237809716,6150810354,2237441379,6150810398,6513463326,2237441367,6150810346,6513481472,6513481449,2237441368,6513481443,2237441381,6513506777,2237804251,6150108633,6150108894"
214138445,"2237821687,4278653341,668585799,4278653500,6151994949,6151994938,4278653648,668585795,2237820585,6151562850,4278653957,2237820586,4278654003,5589299299,3779060015,668585806,668585805,4281262181,4281262218,2237818527,4281262301,2237818529,4281262393,668585811,5589299591,6561831116,5589299595,2237441364"
214138446,"3072257246,6150025077,2237312062,6149803643,6149803641,6149803633,6149803646,6149803649,6570451386,2237312054,6163993105,6570450649,6570450646,6570458137,2237312093,2237312089,6570620875,3073614922,6570620872,6570627772"
214190320,"2237914895,5589299556,4293660513,5589299586,6148975923,6148975928,4281260412,6164288705,5589299547,2237914899,2237914889,5589299584,4281261200,5589299582,668585786,4281261355,6151994925,2237914893,4278653011,4281261563"
214190321,"2237821687,2237821690"
214217256,"2238039516,2238039531,2238039550,2238039509,2238039553,2238039513,2238039511"
214217258,"2238039524,2238039540,2238039527,2238039558,2238039515,2238039536"
219775323,"3074532148,5577369700,5577369699,5577369711,5577369712,3074532031"
249158097,"5726561771,3074776167,3074776716"
251398700,"2576246060,6525623847,2576246059,6514008324,2576246055,6514008322,2576246045,2576246033"
256668740,"4828245165,6509742449,4828245157,6539223071,4828245175,420249038"
256668745,"3259983524,2623049882,2623049880"
256668748,"2623049881,2623049883,1334204322"
264562283,"420249329,3510641731,3510641725,3510641732,1333311073,6521480341,1333698928,1333328874,6519129346,1333328829,6519129344,6519127912,1333328839,6519127910,1333698926,420249326,6336888814,420249334,6519014088,3757641504,6040711592,3512524158,6519014086,3512524159,420249331,6518971683,1333698581,6518971682,1333698713,6511672303,420249293,6518971644,1333318810"
295128790,"2988146975,6528683212,6528683213,6528628239,2988146980,6528628242,6528628236,2988146978,6530471566,6528618547,2988146977,6532557035,6528599691,6528582409,2988146981"
295128795,"2988146948,2990909288,2988729561,2990909285,2988146954,2990909280,2988729557,2990909277,2988146959,2990909275,2988729565,2990909274,2988146950,2990909276,2990909278,2988729562,2990909279,2988146952,2990909283,2990909284,2988146943,2990909287,2988729566,2990909290,2988146948"
295128796,"2990909285,6509894287,2990909281,6509874564,3754612429,1333762940,6509874562,3050578583"
295386150,"1333698781,6509874563,6509894286,2988729557"
